date,year,month,day,lag_1,lag_2,lag_3,rolling_mean
2022-02-01,2022,2,1,0.06958813667583907,0.040019626707617384,-0.03703791818505531,0.01972553601777971
2022-02-02,2022,2,2,0.0061884582136206845,0.06958813667583907,0.040019626707617384,0.020595522772292086
2022-02-03,2022,2,3,0.02421931044943859,0.0061884582136206845,0.06958813667583907,0.01747820927813857
2022-02-04,2022,2,4,-0.052624485655822895,0.02421931044943859,0.0061884582136206845,0.01254891128041553
2022-02-07,2022,2,7,0.0153731367190022,-0.052624485655822895,0.02421931044943859,0.0019669405204350452
2022-02-08,2022,2,8,0.016678282875936645,0.0153731367190022,-0.052624485655822895,0.0037793052393690018
2022-02-09,2022,2,9,0.015250281808290467,0.016678282875936645,0.0153731367190022,0.011268302825475817
2022-02-10,2022,2,10,0.06166429837997267,0.015250281808290467,0.016678282875936645,0.015083891578349462
2022-02-11,2022,2,11,-0.03354654189145467,0.06166429837997267,0.015250281808290467,-0.003066280677436328
2022-02-14,2022,2,14,-0.07537772455992675,-0.03354654189145467,0.06166429837997267,-0.0037637639736781024
2022-02-15,2022,2,15,0.013190866394727774,-0.07537772455992675,-0.03354654189145467,0.010753911013008289
2022-02-16,2022,2,16,0.08783865674172242,0.013190866394727774,-0.07537772455992675,-0.0014582163635387779
2022-02-17,2022,2,17,0.00060366149723734,0.08783865674172242,0.013190866394727774,-0.010469095852156052
2022-02-18,2022,2,18,-0.07860093933454104,0.00060366149723734,0.08783865674172242,-0.0025803489529836023
2022-02-22,2022,2,22,-0.0359339900640645,-0.07860093933454104,0.00060366149723734,-0.007361771275325601
2022-02-23,2022,2,23,-0.010716245216982223,-0.0359339900640645,-0.07860093933454104,-0.03369513464497169
2022-02-24,2022,2,24,-0.04382816010650803,-0.010716245216982223,-0.0359339900640645,-0.02201228935255104
2022-02-25,2022,2,25,0.0590178879593406,-0.04382816010650803,-0.010716245216982223,-0.0028769227331951084
2022-02-28,2022,2,28,0.017075893762238614,0.0590178879593406,-0.04382816010650803,0.0061886797659342465
2022-03-01,2022,3,1,0.009394022431582272,0.017075893762238614,0.0590178879593406,0.0007425266868718694
2022-03-02,2022,3,2,-0.03794701061229411,0.009394022431582272,0.017075893762238614,0.015739663075913325
2022-03-03,2022,3,3,0.031157521838699243,-0.03794701061229411,0.009394022431582272,-0.00028653234395195073
2022-03-04,2022,3,4,-0.021113089139985775,0.031157521838699243,-0.03794701061229411,-0.010373282322118182
2022-03-07,2022,3,7,-0.033357856128592545,-0.021113089139985775,0.031157521838699243,-0.026564564006719405
2022-03-08,2022,3,8,-0.07156238599142384,-0.033357856128592545,-0.021113089139985775,-0.01746346095261577
2022-03-09,2022,3,9,0.007558504658224052,-0.07156238599142384,-0.033357856128592545,-0.010215197205083192
2022-03-10,2022,3,10,0.06739884057636214,0.007558504658224052,-0.07156238599142384,-0.009110517686014497
2022-03-11,2022,3,11,-0.015589691544642292,0.06739884057636214,0.007558504658224052,-0.007426027744247143
2022-03-14,2022,3,14,-0.02493540641975578,-0.015589691544642292,0.06739884057636214,-0.0002061699216342028
2022-03-15,2022,3,15,-0.035463096878359135,-0.02493540641975578,-0.015589691544642292,0.013123142307893599
2022-03-16,2022,3,16,0.07420506580586306,-0.035463096878359135,-0.02493540641975578,0.012481425400285674
2022-03-17,2022,3,17,0.06419025603832251,0.07420506580586306,-0.035463096878359135,0.01779174855563461
2022-03-18,2022,3,18,0.010961924232102405,0.06419025603832251,0.07420506580586306,0.03595838283639043
2022-03-21,2022,3,21,0.06589776498402333,0.010961924232102405,0.06419025603832251,0.045164321335090477
2022-03-22,2022,3,22,0.010566595615141061,0.06589776498402333,0.010961924232102405,0.028746079024488492
2022-03-23,2022,3,23,-0.007886145747146855,0.010566595615141061,0.06589776498402333,0.009081954983014829
2022-03-24,2022,3,24,-0.0341303641690458,-0.007886145747146855,0.010566595615141061,0.02561511321033354
2022-03-25,2022,3,25,0.09362771536869596,-0.0341303641690458,-0.007886145747146855,0.009154800492276394
2022-03-28,2022,3,28,-0.0164037986062624,0.09362771536869596,-0.0341303641690458,0.010811873897458125
2022-03-29,2022,3,29,0.018851962641049713,-0.0164037986062624,0.09362771536869596,0.015462572055192502
2022-03-30,2022,3,30,0.015367345041525038,0.018851962641049713,-0.0164037986062624,0.015430346160842134
2022-03-31,2022,3,31,-0.03429149364079764,0.015367345041525038,0.018851962641049713,-0.006234723323533409
2022-04-01,2022,4,1,-0.014697632053181753,-0.03429149364079764,0.015367345041525038,-0.007206128757079089
